time,temperature
2023-02-11 05:52:35,24.5
2023-02-11 06:12:38,24.4
2023-02-11 06:13:10,24.6
2023-02-11 06:32:45,24.4
2023-02-11 06:37:32,24.6
2023-02-11 06:52:46,24.4
2023-02-11 07:01:54,24.8
2023-02-11 07:12:54,24.5
2023-02-11 07:26:16,25.2
2023-02-11 07:32:54,24.8
2023-02-11 07:50:37,25.7
2023-02-11 07:53:02,25.2
2023-02-11 08:13:03,25.7
2023-02-11 08:15:01,26.3
2023-02-11 08:33:04,26.4
2023-02-11 08:39:23,26.9
2023-02-11 08:53:13,27.0
2023-02-11 09:03:45,26.9
2023-02-11 09:13:13,27.0
2023-02-11 09:28:09,27.3
2023-02-11 09:33:22,27.5
2023-02-11 09:52:33,27.6
2023-02-11 09:53:23,28.0
2023-02-11 10:13:33,28.7
2023-02-11 10:16:54,28.2
2023-02-11 10:33:31,29.2
2023-02-11 10:41:16,28.5
2023-02-11 10:53:39,30.0
2023-02-11 11:05:39,28.8
2023-02-11 11:13:41,30.0
2023-02-11 11:30:02,28.9
2023-02-11 11:33:48,30.8
2023-02-11 11:53:49,31.0
2023-02-11 11:54:26,29.1
2023-02-11 12:13:57,31.4
2023-02-11 12:18:49,29.0
2023-02-11 12:33:58,31.4
2023-02-11 12:43:13,28.9
2023-02-11 12:54:06,31.7
2023-02-11 13:07:36,28.8
2023-02-11 13:14:07,31.6
2023-02-11 13:31:58,28.5
2023-02-11 13:34:16,31.8
2023-02-11 13:54:16,31.4
2023-02-11 13:56:20,28.3
2023-02-11 14:14:28,31.6
2023-02-11 14:20:43,28.2
2023-02-11 14:34:28,31.6
2023-02-11 14:45:04,28.2
2023-02-11 14:54:34,32.0
2023-02-11 15:09:27,27.6
2023-02-11 15:14:35,31.8
2023-02-11 15:33:50,27.5
2023-02-11 15:39:09,31.6
2023-02-11 15:58:13,27.3
2023-02-11 15:59:09,31.1
2023-02-11 16:19:18,31.0
2023-02-11 16:22:35,26.9
2023-02-11 16:39:18,30.7
2023-02-11 16:46:57,26.6
2023-02-11 16:59:26,30.7
2023-02-11 17:11:18,26.4
2023-02-11 17:19:27,30.5
2023-02-11 17:35:40,26.2
2023-02-11 17:39:36,30.3
2023-02-11 17:59:36,29.9
2023-02-11 18:00:02,26.0
2023-02-11 18:19:45,29.6
2023-02-11 18:24:24,25.8
2023-02-11 18:39:47,29.3
2023-02-11 18:48:46,25.7
2023-02-11 18:59:54,29.1
2023-02-11 19:13:08,25.6
2023-02-11 19:19:54,28.8
2023-02-11 19:37:30,25.6
2023-02-11 19:40:03,28.7
2023-02-11 20:00:03,28.5
2023-02-11 20:01:51,25.6
2023-02-11 20:20:12,28.4
2023-02-11 20:26:13,25.6
2023-02-11 20:40:13,28.2
2023-02-11 20:50:36,25.6
2023-02-11 21:00:21,28.1
2023-02-11 21:14:57,25.6
2023-02-11 21:20:21,27.9
2023-02-11 21:39:19,25.4
2023-02-11 21:40:29,27.7
2023-02-11 22:00:30,27.6
2023-02-11 22:03:41,25.4
2023-02-11 22:20:38,27.4
2023-02-11 22:28:02,25.4
2023-02-11 22:40:38,27.3
2023-02-11 22:52:23,25.4
2023-02-11 23:00:39,27.2
2023-02-11 23:16:45,25.3
2023-02-11 23:20:47,27.0
2023-02-11 23:40:48,26.9
2023-02-11 23:41:05,25.3
2023-02-12 00:00:56,26.8
2023-02-12 00:05:26,25.2
2023-02-12 00:20:56,26.6
2023-02-12 00:29:48,25.3
2023-02-12 00:40:57,26.6
2023-02-12 00:54:09,25.3
2023-02-12 01:01:06,26.5
2023-02-12 01:18:29,25.2
2023-02-12 01:21:06,26.3
2023-02-12 01:41:07,26.3
2023-02-12 01:42:50,25.2
2023-02-12 02:01:16,26.2
2023-02-12 02:07:09,25.3
2023-02-12 02:21:17,26.1
2023-02-12 02:31:31,25.3
2023-02-12 02:41:17,26.1
2023-02-12 02:55:52,25.3
2023-02-12 03:01:26,26.1
2023-02-12 03:20:12,25.3
